model,rmse,mae,r2
Linear Regression,0.010869240772020432,0.007933683633480336,-0.08973533131531805
Random Forest,0.013301212340825342,0.010049575673770147,-0.9474959653847694
Gradient Boosting,0.015232180422570494,0.011623083603878061,-1.8102461834109107
XGBoost,0.012254714102286068,0.009294200641311465,-0.4793957105858599
