Date,oil_price,oil_return,oil_lag_1,oil_lag_3
2016-03-17,40.20000076293945,0.04524185439123629,38.459999084472656,37.18000030517578
2016-03-18,39.43999862670898,-0.018905525418077218,40.20000076293945,36.34000015258789
2016-03-21,39.90999984741211,0.011916867065630221,39.43999862670898,38.459999084472656
2016-03-22,41.45000076293945,0.038586843433105145,39.90999984741211,40.20000076293945
2016-03-23,39.790000915527344,-0.04004824648631411,41.45000076293945,39.43999862670898
2016-03-24,39.459999084472656,-0.008293586917860862,39.790000915527344,39.90999984741211
2016-03-28,39.38999938964844,-0.0017739406094351429,39.459999084472656,41.45000076293945
2016-03-29,38.27999877929688,-0.02817975698276498,39.38999938964844,39.790000915527344
2016-03-30,38.31999969482422,0.0010449560293344096,38.27999877929688,39.459999084472656
2016-03-31,38.34000015258789,0.00052193261803124,38.31999969482422,39.38999938964844
2016-04-01,36.790000915527344,-0.04042773163515301,38.34000015258789,38.27999877929688
2016-04-04,35.70000076293945,-0.02962761961030158,36.790000915527344,38.31999969482422
2016-04-05,35.88999938964844,0.005322090270267532,35.70000076293945,38.34000015258789
2016-04-06,37.75,0.05182503878470479,35.88999938964844,36.790000915527344
2016-04-07,37.2599983215332,-0.012980176913027774,37.75,35.70000076293945
2016-04-08,39.720001220703125,0.06602262506673928,37.2599983215332,35.88999938964844
2016-04-11,40.36000061035156,0.016112773665144076,39.720001220703125,37.75
2016-04-12,42.16999816894531,0.04484632138805078,40.36000061035156,37.2599983215332
2016-04-13,41.7599983215332,-0.00972254838071207,42.16999816894531,39.720001220703125
2016-04-14,41.5,-0.006226013696919552,41.7599983215332,40.36000061035156
2016-04-15,40.36000061035156,-0.02746986481080571,41.5,42.16999816894531
2016-04-18,39.77999877929688,-0.014370709174516771,40.36000061035156,41.7599983215332
2016-04-19,41.08000183105469,0.03267981628079841,39.77999877929688,41.5
2016-04-20,42.630001068115234,0.03773123583185467,41.08000183105469,40.36000061035156
2016-04-21,43.18000030517578,0.012901694189069834,42.630001068115234,39.77999877929688
2016-04-22,43.72999954223633,0.012737360657096186,43.18000030517578,41.08000183105469
2016-04-25,42.63999938964844,-0.02492568406123863,43.72999954223633,42.630001068115234
2016-04-26,44.040000915527344,0.032833056893025736,42.63999938964844,43.18000030517578
2016-04-27,45.33000183105469,0.02929157331312693,44.040000915527344,43.72999954223633
