Date,Close,High,Low,Open,Volume,return,lag_1,lag_2,lag_3,lag_5,lag_7,lag_10,rolling_mean_7,rolling_std_7,volatility_20,target,oil_price,oil_return,oil_lag_1,oil_lag_3,cpi,fed_rate,usd_index,usd_return,rate_change,cpi_change,real_rate
2016-04-12,1259.4000244140625,1261.699951171875,1253.699951171875,1260.0,185,0.0021485424899314,1256.699951171875,1242.5,1236.199951171875,1228.4000244140625,1222.199951171875,1235.5999755859375,1237.671421595982,16.13894451017015,0.0108007661258123,1246.800048828125,42.16999816894531,0.0448463213880507,40.36000061035156,37.2599983215332,238.992,0.37,109.816,-0.0014530469430548,0.0,0.0,0.37
2016-04-13,1246.800048828125,1256.9000244140625,1241.300048828125,1256.5,203,-0.0100047445939979,1259.4000244140625,1256.699951171875,1242.5,1222.5,1218.0,1226.9000244140625,1241.7857142857142,13.78808880032071,0.0107318753558173,1225.0,41.7599983215332,-0.009722548380712,42.16999816894531,39.720001220703125,238.992,0.37,110.1436,0.0029831718510964,0.0,0.0,0.37
2016-04-14,1225.0,1243.699951171875,1224.5,1231.4000244140625,264,-0.0174847994661333,1246.800048828125,1259.4000244140625,1256.699951171875,1236.199951171875,1228.4000244140625,1234.199951171875,1241.2999965122767,14.385179960910788,0.0114781895715531,1233.0999755859375,41.5,-0.0062260136969195,41.7599983215332,40.36000061035156,238.992,0.37,110.1691,0.000231515948271,0.0,0.0,0.37
2016-04-15,1233.0999755859375,1235.0,1225.699951171875,1225.699951171875,97,0.0066122249681122,1225.0,1246.800048828125,1259.4000244140625,1242.5,1222.5,1222.199951171875,1242.8142787388392,12.512324156245176,0.0094529804517297,1233.5999755859375,40.36000061035156,-0.0274698648108057,41.5,42.16999816894531,238.992,0.37,110.1933,0.0002196623191075,0.0,0.0,0.37
2016-04-18,1233.5999755859375,1241.0999755859375,1232.199951171875,1238.699951171875,304,0.0004054821262666,1233.0999755859375,1225.0,1246.800048828125,1256.699951171875,1236.199951171875,1218.0,1242.4428536551338,12.777179475054812,0.0093018875705708,1253.0,39.77999877929688,-0.0143707091745167,40.36000061035156,41.7599983215332,238.992,0.37,109.9892,-0.0018521997253916,0.0,0.0,0.37
2016-04-19,1253.0,1256.199951171875,1228.800048828125,1231.5999755859375,386,0.0157263495444281,1233.5999755859375,1233.0999755859375,1225.0,1259.4000244140625,1242.5,1228.4000244140625,1243.9428536551338,13.386796761914091,0.0098304591524889,1253.199951171875,41.08000183105469,0.0326798162807984,39.77999877929688,41.5,238.992,0.37,109.2782,-0.00646427103752,0.0,0.0,0.37
2016-04-20,1253.199951171875,1256.0999755859375,1243.0,1256.0999755859375,180,0.000159577950419,1253.0,1233.5999755859375,1233.0999755859375,1246.800048828125,1256.699951171875,1222.5,1243.4428536551338,12.88693319252473,0.009802960100719,1249.0,42.630001068115234,0.0377312358318546,41.08000183105469,40.36000061035156,238.992,0.37,109.3926,0.0010468693664427,0.0,0.0,0.37
2016-04-21,1249.0,1270.5999755859375,1247.5999755859375,1247.699951171875,124,-0.0033513815316922,1253.199951171875,1253.0,1233.5999755859375,1225.0,1259.4000244140625,1236.199951171875,1241.9571358816963,11.234154458644326,0.0086771981544743,1228.699951171875,43.18000030517578,0.0129016941890698,42.630001068115234,39.77999877929688,238.992,0.37,109.8533,0.0042114366054011,0.0,0.0,0.37
2016-04-22,1228.699951171875,1248.5,1228.0,1248.5,188,-0.0162530414956965,1249.0,1253.199951171875,1253.0,1233.0999755859375,1246.800048828125,1242.5,1239.3714076450892,11.99120903990775,0.0094905440225588,1238.9000244140625,43.72999954223633,0.0127373606570961,43.18000030517578,41.08000183105469,238.992,0.37,110.2331,0.0034573381045448,0.0,0.0,0.37
2016-04-25,1238.9000244140625,1240.9000244140625,1231.5999755859375,1231.5999755859375,442,0.008301516763681,1228.699951171875,1249.0,1253.199951171875,1233.5999755859375,1225.0,1256.699951171875,1241.3571254185267,10.23733269583715,0.0096455840860857,1242.199951171875,42.63999938964844,-0.0249256840612386,43.72999954223633,42.630001068115234,238.992,0.37,110.1865,-0.0004227405380053,0.0,0.0,0.37
2016-04-26,1242.199951171875,1244.199951171875,1233.0,1239.800048828125,97,0.0026635940695645,1238.9000244140625,1228.699951171875,1249.0,1253.0,1233.0999755859375,1259.4000244140625,1242.6571219308037,9.570072968379908,0.0092356421881491,1249.199951171875,44.040000915527344,0.0328330568930257,42.63999938964844,43.18000030517578,238.992,0.37,109.7496,-0.0039650955425573,0.0,0.0,0.37
2016-04-27,1249.199951171875,1249.5,1248.5999755859375,1248.5999755859375,547,0.005635163641245,1242.199951171875,1238.9000244140625,1228.699951171875,1253.199951171875,1233.5999755859375,1246.800048828125,1244.8856898716515,8.902517329547496,0.0091392896647144,1265.5,45.33000183105469,0.0292915733131269,44.040000915527344,43.72999954223633,238.992,0.37,109.8483,0.0008993199064051,0.0,0.0,0.37
2016-04-28,1265.5,1270.0999755859375,1238.5,1245.9000244140625,887,0.0130483905421496,1249.199951171875,1242.199951171875,1238.9000244140625,1249.0,1253.0,1225.0,1246.6714041573662,11.63554334395721,0.0094757001068043,1289.199951171875,46.02999877929688,0.0154422439877917,45.33000183105469,42.63999938964844,238.992,0.37,109.2148,-0.0057670441873018,0.0,0.0,0.37
2016-04-29,1289.199951171875,1295.5,1267.199951171875,1267.300048828125,464,0.0187277369987159,1265.5,1249.199951171875,1242.199951171875,1228.699951171875,1253.199951171875,1233.0999755859375,1251.8142613002233,19.97176232148965,0.0098621604292658,1294.699951171875,45.91999816894531,-0.0023897591411852,46.02999877929688,44.040000915527344,238.992,0.3,108.8274,-0.0035471382999373,-0.07,0.0,0.3
