Date,Close,High,Low,Open,Volume,return,lag_1,lag_2,lag_3,lag_5,lag_7,lag_10,rolling_mean_7,rolling_std_7,volatility_20,target
2016-04-12,1259.4000244140625,1261.699951171875,1253.699951171875,1260.0,185,0.00214854248993146,1256.699951171875,1242.5,1236.199951171875,1228.4000244140625,1222.199951171875,1235.5999755859375,1237.671421595982,16.13894451017015,0.010800766125812345,1246.800048828125
2016-04-13,1246.800048828125,1256.9000244140625,1241.300048828125,1256.5,203,-0.010004744593997916,1259.4000244140625,1256.699951171875,1242.5,1222.5,1218.0,1226.9000244140625,1241.7857142857142,13.78808880032071,0.010731875355817353,1225.0
2016-04-14,1225.0,1243.699951171875,1224.5,1231.4000244140625,264,-0.01748479946613335,1246.800048828125,1259.4000244140625,1256.699951171875,1236.199951171875,1228.4000244140625,1234.199951171875,1241.2999965122767,14.385179960910788,0.011478189571553119,1233.0999755859375
2016-04-15,1233.0999755859375,1235.0,1225.699951171875,1225.699951171875,97,0.006612224968112201,1225.0,1246.800048828125,1259.4000244140625,1242.5,1222.5,1222.199951171875,1242.8142787388392,12.512324156245176,0.009452980451729705,1233.5999755859375
2016-04-18,1233.5999755859375,1241.0999755859375,1232.199951171875,1238.699951171875,304,0.00040548212626667635,1233.0999755859375,1225.0,1246.800048828125,1256.699951171875,1236.199951171875,1218.0,1242.4428536551338,12.777179475054812,0.009301887570570877,1253.0
2016-04-19,1253.0,1256.199951171875,1228.800048828125,1231.5999755859375,386,0.015726349544428198,1233.5999755859375,1233.0999755859375,1225.0,1259.4000244140625,1242.5,1228.4000244140625,1243.9428536551338,13.386796761914091,0.009830459152488974,1253.199951171875
2016-04-20,1253.199951171875,1256.0999755859375,1243.0,1256.0999755859375,180,0.0001595779504190986,1253.0,1233.5999755859375,1233.0999755859375,1246.800048828125,1256.699951171875,1222.5,1243.4428536551338,12.88693319252473,0.009802960100719026,1249.0
2016-04-21,1249.0,1270.5999755859375,1247.5999755859375,1247.699951171875,124,-0.0033513815316922324,1253.199951171875,1253.0,1233.5999755859375,1225.0,1259.4000244140625,1236.199951171875,1241.9571358816963,11.234154458644326,0.008677198154474392,1228.699951171875
2016-04-22,1228.699951171875,1248.5,1228.0,1248.5,188,-0.016253041495696507,1249.0,1253.199951171875,1253.0,1233.0999755859375,1246.800048828125,1242.5,1239.3714076450892,11.99120903990775,0.009490544022558866,1238.9000244140625
2016-04-25,1238.9000244140625,1240.9000244140625,1231.5999755859375,1231.5999755859375,442,0.008301516763681072,1228.699951171875,1249.0,1253.199951171875,1233.5999755859375,1225.0,1256.699951171875,1241.3571254185267,10.23733269583715,0.009645584086085792,1242.199951171875
2016-04-26,1242.199951171875,1244.199951171875,1233.0,1239.800048828125,97,0.002663594069564512,1238.9000244140625,1228.699951171875,1249.0,1253.0,1233.0999755859375,1259.4000244140625,1242.6571219308037,9.570072968379908,0.009235642188149144,1249.199951171875
2016-04-27,1249.199951171875,1249.5,1248.5999755859375,1248.5999755859375,547,0.005635163641245056,1242.199951171875,1238.9000244140625,1228.699951171875,1253.199951171875,1233.5999755859375,1246.800048828125,1244.8856898716517,8.902517329547496,0.009139289664714494,1265.5
2016-04-28,1265.5,1270.0999755859375,1238.5,1245.9000244140625,887,0.01304839054214968,1249.199951171875,1242.199951171875,1238.9000244140625,1249.0,1253.0,1225.0,1246.6714041573662,11.63554334395721,0.009475700106804333,1289.199951171875
2016-04-29,1289.199951171875,1295.5,1267.199951171875,1267.300048828125,464,0.018727736998715994,1265.5,1249.199951171875,1242.199951171875,1228.699951171875,1253.199951171875,1233.0999755859375,1251.8142613002233,19.971762321489646,0.009862160429265866,1294.699951171875
2016-05-02,1294.699951171875,1304.4000244140625,1290.4000244140625,1292.0999755859375,192,0.004266211765677319,1289.199951171875,1265.5,1249.199951171875,1238.9000244140625,1249.0,1233.5999755859375,1258.3428257533483,25.580379830799245,0.009759022746623618,1290.699951171875
2016-05-03,1290.699951171875,1301.5,1284.5,1292.699951171875,151,-0.0030895189239633636,1294.699951171875,1289.199951171875,1265.5,1242.199951171875,1228.699951171875,1253.0,1267.1999686104912,24.308008585931262,0.009764548612431017,1273.300048828125
2016-05-04,1273.300048828125,1290.0,1273.0,1286.9000244140625,109,-0.013480981639421241,1290.699951171875,1294.699951171875,1289.199951171875,1249.199951171875,1238.9000244140625,1253.199951171875,1272.1142578125,20.866832362611504,0.01028605513202989,1271.4000244140625
2016-05-05,1271.4000244140625,1286.0,1270.800048828125,1282.9000244140625,330,-0.0014922047759372559,1273.300048828125,1290.699951171875,1294.699951171875,1265.5,1242.199951171875,1249.0,1276.2856968470983,16.311479696410707,0.010083508354539972,1292.9000244140625
2016-05-06,1292.9000244140625,1295.5999755859375,1276.9000244140625,1278.5999755859375,305,0.016910492045891345,1271.4000244140625,1273.300048828125,1290.699951171875,1289.199951171875,1249.199951171875,1228.699951171875,1282.528564453125,12.013677687073978,0.010638915257142438,1265.5999755859375
2016-05-09,1265.5999755859375,1286.5,1262.300048828125,1286.5,341,-0.021115359511650778,1292.9000244140625,1271.4000244140625,1273.300048828125,1294.699951171875,1265.5,1238.9000244140625,1282.5428466796875,11.990095879790802,0.01157553178405437,1263.9000244140625
2016-05-10,1263.9000244140625,1267.4000244140625,1258.699951171875,1265.0999755859375,23,-0.001343197854510092,1265.5999755859375,1292.9000244140625,1271.4000244140625,1290.699951171875,1289.199951171875,1242.199951171875,1278.9285714285713,13.381400511602045,0.011574367945829505,1274.5999755859375
2016-05-11,1274.5999755859375,1279.199951171875,1266.9000244140625,1266.9000244140625,50,0.008465820844362648,1263.9000244140625,1265.5999755859375,1292.9000244140625,1273.300048828125,1294.699951171875,1249.199951171875,1276.0571463448662,11.450298589945684,0.011449956213389048,1270.300048828125
2016-05-12,1270.300048828125,1281.199951171875,1264.0,1267.0,101,-0.003373550007982562,1274.5999755859375,1263.9000244140625,1265.5999755859375,1271.4000244140625,1290.699951171875,1265.5,1273.1428745814733,9.538846943180076,0.010646814338558155,1271.9000244140625
2016-05-13,1271.9000244140625,1275.699951171875,1264.5999755859375,1271.4000244140625,66,0.0012595257218273037,1270.300048828125,1274.5999755859375,1263.9000244140625,1292.9000244140625,1273.300048828125,1289.199951171875,1272.94287109375,9.549673371915283,0.010588480217021948,1273.4000244140625
2016-05-16,1273.4000244140625,1287.800048828125,1272.800048828125,1272.800048828125,44,0.0011793379756328548,1271.9000244140625,1270.300048828125,1274.5999755859375,1265.5999755859375,1271.4000244140625,1294.699951171875,1273.2285853794642,9.525708668050452,0.010585285288917912,1276.199951171875
2016-05-17,1276.199951171875,1281.5999755859375,1270.800048828125,1272.5,16,0.0021987801979985733,1273.4000244140625,1271.9000244140625,1270.300048828125,1263.9000244140625,1292.9000244140625,1290.699951171875,1270.8428606305804,4.590869139022078,0.010056980914057455,1273.699951171875
2016-05-18,1273.699951171875,1276.4000244140625,1256.800048828125,1276.4000244140625,17,-0.001958940679871013,1276.199951171875,1273.4000244140625,1271.9000244140625,1274.5999755859375,1265.5999755859375,1273.300048828125,1272.0,4.036475336184361,0.01007705663578064,1254.199951171875
2016-05-19,1254.199951171875,1255.5,1247.5,1248.0,69,-0.015309728152269275,1273.699951171875,1276.199951171875,1273.4000244140625,1270.300048828125,1263.9000244140625,1271.4000244140625,1270.6142752511162,7.478294157882371,0.010676996151234252,1252.4000244140625
2016-05-20,1252.4000244140625,1256.5999755859375,1252.4000244140625,1256.5999755859375,44,-0.0014351194609206752,1254.199951171875,1273.699951171875,1276.199951171875,1271.9000244140625,1274.5999755859375,1292.9000244140625,1267.4428536551338,9.840537103318841,0.009960769620502383,1251.0999755859375
2016-05-23,1251.0999755859375,1251.5999755859375,1247.5,1251.5999755859375,56,-0.0010380459939173248,1252.4000244140625,1254.199951171875,1273.699951171875,1273.4000244140625,1270.300048828125,1265.5999755859375,1264.699986049107,11.45483786651938,0.009818500129466024,1228.9000244140625
2016-05-24,1228.9000244140625,1240.0,1228.199951171875,1240.0,20,-0.017744346259361055,1251.0999755859375,1252.4000244140625,1254.199951171875,1276.199951171875,1271.9000244140625,1263.9000244140625,1258.55712890625,17.092560305390354,0.010613975149674626,1223.5
2016-05-25,1223.5,1223.5,1218.5999755859375,1219.300048828125,5,-0.004394193430533266,1228.9000244140625,1251.0999755859375,1252.4000244140625,1273.699951171875,1273.4000244140625,1274.5999755859375,1251.4285539899554,20.02460313586526,0.01054633732479406,1220.0999755859375
2016-05-26,1220.0999755859375,1232.5999755859375,1220.0999755859375,1232.5999755859375,199778,-0.002778932908919063,1223.5,1228.9000244140625,1251.0999755859375,1254.199951171875,1276.199951171875,1270.300048828125,1243.414271763393,19.681484758171045,0.010018420997631545,1213.800048828125
2016-05-27,1213.800048828125,1223.199951171875,1206.4000244140625,1220.300048828125,63739,-0.005163451261268159,1220.0999755859375,1223.5,1228.9000244140625,1252.4000244140625,1273.699951171875,1271.9000244140625,1234.857142857143,17.18222769179353,0.008794364072227492,1214.800048828125
2016-05-31,1214.800048828125,1217.5999755859375,1199.0,1212.5,6432,0.0008238589222051562,1213.800048828125,1220.0999755859375,1223.5,1251.0999755859375,1254.199951171875,1273.4000244140625,1229.2285853794642,16.215999625614003,0.008678167370255655,1211.9000244140625
